name,img_link,description,description_url,short_description,type
Cardano,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTCmWChqY5doIXau5raRy47H44J9fvq29zbIK9MIjSc5t18_Nbs,"Cardano is a public blockchain platform. It is open-source and decentralized, with consensus achieved using proof of stake. It can facilitate peer-to-peer transactions with its internal cryptocurrency, ADA.",https://en.wikipedia.org/wiki/Cardano_(blockchain_platform),Cryptocurrency,"['SoftwareApplication', 'Thing']"
Carnitine,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTUf5N1dJYUBMslFiqU4O-OoRaIvJtXJJUKAPLYdvWkyzXzFc6-,"Carnitine is a quaternary ammonium compound involved in metabolism in most mammals, plants, and some bacteria. In support of energy metabolism, carnitine transports long-chain fatty acids from the cytosol into mitochondria to be oxidized for free energy production, and also participates in removing products of metabolism from cells.",https://en.wikipedia.org/wiki/Carnitine,Compounds,['Thing']
Carbocisteine,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ__4-kPgqe5DrLiakNxNAV3mQD_E6fd1PfX24KJZrmxrkLc80L,"Carbocisteine, also called carbocysteine, is a mucolytic that reduces the viscosity of sputum and so can be used to help relieve the symptoms of chronic obstructive pulmonary disorder and bronchiectasis by allowing the sufferer to bring up sputum more easily.",https://en.wikipedia.org/wiki/Carbocisteine,Medicinal,['Thing']
Carrot,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRb-HB3BouX_nriRPueirbot31AU5sya7L-Xg7L4H99oRCC85ZQ,"The carrot is a root vegetable, typically orange in color, though heirloom variants including purple, black, red, white, and yellow cultivars exist, all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",https://en.wikipedia.org/wiki/Carrot,Root vegetables,['Thing']
Microsoft Office,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRAtTRaIirn0ulW4xO0CGO_8nQWoGmbfwN7TBDFpTfgeP0ZYv52,"Microsoft Office, or simply Office, is a family of client software, server software, and services developed by Microsoft. It was first announced by Bill Gates on August 1, 1988, at COMDEX in Las Vegas.",https://en.wikipedia.org/wiki/Microsoft_Office,Software,"['SoftwareApplication', 'Thing', 'ProductModel']"
Microsoft Outlook,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQG6l2usaruMUtgrNnlzDkWAAHZ2KbyDiPe9YwrXt3Wk5qNm63N,"Microsoft Outlook is a personal information manager software system from Microsoft, available as a part of the Microsoft 365 software suites.",https://en.wikipedia.org/wiki/Microsoft_Outlook,Software,"['SoftwareApplication', 'Thing']"
Microsoft 365,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8EjQsXSW1F6gBlljiZ91vTeFQ13ynvKmAsmbnYOZgQDVskdvq,"Microsoft 365 is a product family of productivity software, collaboration and cloud-based services owned by Microsoft. It encompasses online services such as Outlook.com, OneDrive, Microsoft Teams, programs formerly marketed under the name Microsoft Office, enterprise products and services associated with these products such as Exchange Server, SharePoint, and Viva Engage.",https://en.wikipedia.org/wiki/Microsoft_365,Software,"['Brand', 'Thing', 'SoftwareApplication']"
Office,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRaYsQMO3d_9mkit2U5gboQPU8YQP-9BK9Cu3foY5_clkXVXeZV,An office is a space where the employees of an organization perform administrative work in order to support and realize the various goals of the organization.,https://en.wikipedia.org/wiki/Office,Building function,['Thing']
OfficeMax,,"OfficeMax is an American office supplies retailer founded in 1988. As an independent chain, it was the third-largest office supply retailer in the United States. Following a 2013 merger, it is currently a brand and subsidiary of Office Depot.",https://en.wikipedia.org/wiki/OfficeMax,Office supplies company,"['Organization', 'Thing', 'Corporation']"
Liturgy of the Hours,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2BXtAKSJhe83PpRNGVgb-cVOI9zWupnVCPw4sxIx_DTHesvWo,"The Liturgy of the Hours, Divine Office, or Opus Dei are a set of Catholic prayers comprising the canonical hours, often also referred to as the breviary, of the Latin Church.",https://en.wikipedia.org/wiki/Liturgy_of_the_Hours,Book,"['Book', 'Thing']"
